"Name","Gross Export","Share"
"Germany",1830956509854,6.376049390715316
"United Kingdom",1023872594209,3.565492787699784
"France",1062199712695,3.698961605312508
"Netherlands",928599629965,3.2337180446350025
"Italy",725757452721,2.5273485958428497
"Ireland",545355747263,1.8991249444459057
"Spain",505644131554,1.760834809326377
"Belgium",575972853946,2.0057447267077873
"Switzerland",545856820259,1.9008698609164254
"Poland",409207883609,1.4250090938364885
"Russia",292022216081,1.0169264332046137
"Austria",284307376924,0.9900605872701416
"Sweden",293210013999,1.0210627729541366
"Czechia",241696704743,0.8416748943629411
"Denmark",228005727045,0.7939979836663617
"Norway",148281806926,0.5163706071751964
"Hungary",167903678279,0.5847010236606028
"Luxembourg",148108601691,0.5157674442234021
"Romania",150739226824,0.524928227500446
"Portugal",132511765895,0.46145364985474047
"Slovakia",107641285900,0.37484568949878316
"Finland",120638288756,0.42010593008621905
"Greece",113374026762,0.3948091559621119
"Slovenia",69757555065,0.24292090722867568
"Lithuania",56960501186,0.19835696092573737
"Bulgaria",58405767533,0.20338989838854224
"Ukraine",78642547690,0.27386164858886164
"Croatia",47791767466,0.1664281309757029
"Serbia",48751878026,0.16977158141713117
"Estonia",32397133798,0.11281847717406024
"Malta",33761934585,0.11757120460344796
"Latvia",31082919912,0.10824191153637171
"Belarus",23948050744,0.0833957297911333
"Iceland",12733996590,0.044344358133069306
"North Macedonia",13551146212,0.04718996714750286
"Bosnia and Herzegovina",13754543359,0.047898269200677246
"Albania",12720388765,0.04429697078998756
"Moldova",9458222906,0.03293693546105021
"Montenegro",5207313584,0.018133739619612437
"Faroe Islands",1468720988,0.0051146149623264026
"Gibraltar",10943220109,0.03810823006059103
"San Marino",393330390,0.0013697179479753435
"Andorra",1966014719,0.006846370672243255
"Vatican City",38970265,0.00013570848519448331
"China",2626086117367,9.144976791359714
"Japan",867431191590,3.020707532297369
"South Korea",710955660931,2.4758034307795627
"India",758213984240,2.6403739172542
"Singapore",678747424023,2.363642760546252
"Taiwan",308279785186,1.0735411387033877
"Vietnam",366115935842,1.274947426163986
"Malaysia",310530127626,1.0813776408082942
"Turkiye",348661879727,1.2141661223707947
"Saudi Arabia",291209561874,1.0140964788427715
"Thailand",314645952977,1.0957104256561587
"United Arab Emirates",336089935859,1.170386090126304
"Hong Kong",713526562298,2.484756234413308
"Indonesia",257039126639,0.8951027279873939
"Israel",128666400250,0.4480627030212545
"Philippines",173675597376,0.6048009228354989
"Qatar",83314291323,0.2901303409277872
"Iraq",97772747487,0.3404798878006987
"Kazakhstan",83500581578,0.2907790706275351
"Kuwait",70608312014,0.2458835490484701
"Oman",52471923122,0.18272611700556832
"Bangladesh",80311660888,0.27967410133247783
"Macao",21851706736,0.07609550563889282
"Pakistan",61405623854,0.21383647752070892
"Azerbaijan",23516366977,0.08189245158395102
"Cambodia",32794299403,0.11420155072067072
"Bahrain",35466105146,0.12350573969953577
"Cyprus",32173357216,0.11203920659519147
"Uzbekistan",45093604659,0.1570321572160668
"Jordan",32644757779,0.11368079297713055
"Myanmar",26491554801,0.09225312613322881
"Sri Lanka",17382759598,0.06053302366674811
"Mongolia",10728466820,0.0373603818347521
"Armenia",13356643126,0.04651263741503345
"Georgia",17831334313,0.06209512223264694
"Turkmenistan",4803260466,0.01672668127443855
"Lebanon",24498324211,0.08531198000522054
"Iran",29875183114,0.104036137432187
"Brunei",8346014748,0.02906382645491113
"Laos",9601304885,0.03343519839636048
"Maldives",5714978421,0.019901611252401547
"Kyrgyzstan",29845179987,0.1039316557481064
"Nepal",12637478105,0.04400824603856298
"Palestine",7893724930,0.02748879056358043
"Tajikistan",7997307840,0.027849503527891468
"Afghanistan",6920903962,0.02410107790797722
"Syria",4237389439,0.014756114744043735
"Yemen",12147386160,0.04230156953887872
"Bhutan",1540225403,0.005363619064412126
"North Korea",2074386608,0.007223760584625289
"Timor-Leste",1434613406,0.004995840089051442
"United States of America",3704302010573,12.899712500229105
"Canada",684886182802,2.385020127491856
